Region_Code,Region,Area_Code,Area,Electorate,Turnout,Valid_Votes,Leave
E12000008,South East,E07000225,Chichester,91659,0.7791,71337,0.5092
E12000008,South East,E07000226,Crawley,73575,0.7324,53835,0.5841
E12000008,South East,E07000227,Horsham,104270,0.8165,85088,0.4854
E12000008,South East,E07000228,Mid Sussex,108416,0.8079,87528,0.4691
E12000008,South East,E07000229,Worthing,81384,0.7546,61366,0.5299
E12000009,South West,E06000022,Bath and North East Somerset,136522,0.7713,105230,0.4215
E12000009,South West,E06000023,"Bristol, City of",312465,0.7317,228445,0.3827
E12000009,South West,E06000024,North Somerset,160860,0.7747,124548,0.5217
E12000009,South West,E06000025,South Gloucestershire,207793,0.7624,158333,0.5268
E12000009,South West,E06000026,Plymouth,186989,0.7141,133455,0.5994
E12000009,South West,E06000027,Torbay,102961,0.7369,75824,0.6316
E12000009,South West,E06000028,Bournemouth,132752,0.693,91926,0.5488
E12000009,South West,E06000029,Poole,113421,0.7538,85448,0.5817
E12000009,South West,E06000030,Swindon,148960,0.759,112965,0.5466
E12000009,South West,E06000052,Cornwall,419755,0.7705,323205,0.5652
E12000009,South West,E06000054,Wiltshire,366555,0.7887,288895,0.5249
E12000009,South West,E07000040,East Devon,112527,0.7894,88783,0.5411
E12000009,South West,E07000041,Exeter,86417,0.7391,63803,0.4472
E12000009,South West,E07000042,Mid Devon,60532,0.7938,48006,0.5334
E12000009,South West,E07000043,North Devon,75548,0.7685,58031,0.5704
E12000009,South West,E07000044,South Hams,69121,0.8027,55450,0.4715
E12000009,South West,E07000045,Teignbridge,103740,0.794,82312,0.539
E12000009,South West,E07000046,Torridge,52881,0.7841,41429,0.6083
E12000009,South West,E07000047,West Devon,43823,0.8126,35595,0.532
E12000009,South West,E07000048,Christchurch,39176,0.793,31050,0.5883
E12000009,South West,E07000049,East Dorset,71966,0.8133,58488,0.5762
E12000009,South West,E07000050,North Dorset,52980,0.7971,42201,0.564
E12000009,South West,E07000051,Purbeck,36418,0.7891,28720,0.5907
E12000009,South West,E07000052,West Dorset,82071,0.7949,65191,0.5103
E12000009,South West,E07000053,Weymouth and Portland,50442,0.7587,38255,0.6104
E12000009,South West,E07000078,Cheltenham,87060,0.7588,66013,0.4383
E12000009,South West,E07000079,Cotswold,68734,0.798,54821,0.489
E12000009,South West,E07000080,Forest of Dean,66705,0.7747,51643,0.5858
E12000009,South West,E07000081,Gloucester,89661,0.7206,64577,0.585
E12000009,South West,E07000082,Stroud,92631,0.8003,74064,0.4539
E12000009,South West,E07000083,Tewkesbury,67831,0.7915,53652,0.5325
E12000009,South West,E07000187,Mendip,85068,0.7701,65455,0.4893
E12000009,South West,E07000188,Sedgemoor,89714,0.763,68414,0.612
E12000009,South West,E07000189,South Somerset,126495,0.7869,99467,0.5725
E12000009,South West,E07000190,Taunton Deane,84164,0.7816,65733,0.5292
E12000009,South West,E07000191,West Somerset,27478,0.7917,21734,0.6059
W92000004,Wales,W06000001,Isle of Anglesey,51445,0.7382,37951,0.5094
W92000004,Wales,W06000002,Gwynedd,84575,0.7242,61182,0.4195
W92000004,Wales,W06000003,Conwy,91368,0.7175,65504,0.5398
W92000004,Wales,W06000004,Denbighshire,75362,0.6914,52072,0.54
W92000004,Wales,W06000005,Flintshire,115964,0.749,86797,0.5637
W92000004,Wales,W06000006,Wrexham,98384,0.7156,70366,0.5904
W92000004,Wales,W06000008,Ceredigion,53400,0.7448,39742,0.4537
W92000004,Wales,W06000009,Pembrokeshire,92155,0.7439,68522,0.5714
W92000004,Wales,W06000010,Carmarthenshire,139227,0.7407,103035,0.5375
W92000004,Wales,W06000011,Swansea,172941,0.696,120243,0.5151
W92000004,Wales,W06000012,Neath Port Talbot,105766,0.7157,75652,0.5684
W92000004,Wales,W06000013,Bridgend,104492,0.7118,74345,0.5464
W92000004,Wales,W06000014,Vale of Glamorgan,95011,0.7615,72309,0.4927
W92000004,Wales,W06000015,Cardiff,243689,0.6966,169604,0.3998
W92000004,Wales,W06000016,Rhondda Cynon Taf,172890,0.6747,116563,0.537
W92000004,Wales,W06000018,Caerphilly,130801,0.7074,92473,0.5763
W92000004,Wales,W06000019,Blaenau Gwent,51136,0.6808,34802,0.6203
W92000004,Wales,W06000020,Torfaen,68957,0.6986,48144,0.5978
W92000004,Wales,W06000021,Monmouthshire,71607,0.7774,55630,0.4956
W92000004,Wales,W06000022,Newport,104977,0.7021,73649,0.5599
W92000004,Wales,W06000023,Powys,103270,0.77,79469,0.5374
W92000004,Wales,W06000024,Merthyr Tydfil,42855,0.6739,28865,0.5644
E12000005,West Midlands,E06000019,"Herefordshire, County of",138247,0.7836,108270,0.5922
E12000005,West Midlands,E06000020,Telford and Wrekin,124338,0.7215,89603,0.6322
E12000005,West Midlands,E06000021,Stoke-on-Trent,179010,0.6574,117590,0.6936
E12000005,West Midlands,E06000051,Shropshire,236788,0.7742,183153,0.5687
E12000005,West Midlands,E07000192,Cannock Chase,75010,0.7147,53578,0.6886
E12000005,West Midlands,E07000193,East Staffordshire,83558,0.7439,62116,0.6321
E12000005,West Midlands,E07000194,Lichfield,80369,0.7878,63278,0.5881
E12000005,West Midlands,E07000195,Newcastle-under-Lyme,92816,0.743,68934,0.6304
E12000005,West Midlands,E07000196,South Staffordshire,85777,0.7781,66692,0.6485
E12000005,West Midlands,E07000197,Stafford,99612,0.7783,77484,0.5599
E12000005,West Midlands,E07000198,Staffordshire Moorlands,79347,0.7536,59760,0.6473
E12000005,West Midlands,E07000199,Tamworth,56825,0.7418,42129,0.6747
E12000005,West Midlands,E07000218,North Warwickshire,49790,0.7627,37954,0.6688
E12000005,West Midlands,E07000219,Nuneaton and Bedworth,93978,0.7435,69831,0.6601
E12000005,West Midlands,E07000220,Rugby,74137,0.7903,58549,0.567
E12000005,West Midlands,E07000221,Stratford-on-Avon,98014,0.8082,79158,0.5156
E12000005,West Midlands,E07000222,Warwick,103099,0.7922,81618,0.4122
E12000005,West Midlands,E07000234,Bromsgrove,74170,0.7935,58815,0.5537
E12000005,West Midlands,E07000235,Malvern Hills,60217,0.8061,48497,0.5216
E12000005,West Midlands,E07000236,Redditch,61038,0.7522,45882,0.6229
E12000005,West Midlands,E07000237,Worcester,73516,0.7385,54239,0.5368
E12000005,West Midlands,E07000238,Wychavon,94497,0.8088,76389,0.5786
E12000005,West Midlands,E07000239,Wyre Forest,77878,0.7405,57632,0.6315
E12000005,West Midlands,E08000025,Birmingham,707293,0.6381,450702,0.5042
E12000005,West Midlands,E08000026,Coventry,221389,0.6921,153064,0.556
E12000005,West Midlands,E08000027,Dudley,244516,0.7171,175226,0.676
E12000005,West Midlands,E08000028,Sandwell,221429,0.6658,147254,0.6672
E12000005,West Midlands,E08000029,Solihull,160425,0.7606,121950,0.5616
E12000005,West Midlands,E08000030,Walsall,194729,0.6968,135579,0.6786
E12000005,West Midlands,E08000031,Wolverhampton,174760,0.6754,117936,0.6257
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",180230,0.6294,113355,0.6762
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,266047,0.7481,198915,0.604
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,116302,0.6794,78982,0.6987
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,123611,0.7192,88862,0.663
E12000003,Yorkshire and The Humber,E06000014,York,155157,0.7069,109600,0.4196
E12000003,Yorkshire and The Humber,E07000163,Craven,44320,0.8102,35891,0.5283
E12000003,Yorkshire and The Humber,E07000164,Hambleton,70133,0.7845,54982,0.5366
E12000003,Yorkshire and The Humber,E07000165,Harrogate,119987,0.7889,94585,0.4903
E12000003,Yorkshire and The Humber,E07000166,Richmondshire,36794,0.7515,27636,0.5678
E12000003,Yorkshire and The Humber,E07000167,Ryedale,41529,0.7722,32050,0.5526
E12000003,Yorkshire and The Humber,E07000168,Scarborough,82900,0.7303,60511,0.6199
E12000003,Yorkshire and The Humber,E07000169,Selby,65278,0.791,51603,0.5917
E12000003,Yorkshire and The Humber,E08000016,Barnsley,175809,0.6995,122909,0.6831
E12000003,Yorkshire and The Humber,E08000017,Doncaster,217432,0.6956,151182,0.6896
E12000003,Yorkshire and The Humber,E08000018,Rotherham,197623,0.6956,137387,0.6789
E12000003,Yorkshire and The Humber,E08000019,Sheffield,396406,0.6734,266753,0.5099
E12000003,Yorkshire and The Humber,E08000032,Bradford,342817,0.6672,228488,0.5423
