id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
1302,Baiao,24438,22456,139.081,127.801,23.34,17.93,44.08,14.65,47.91,52.09,48.33,51.67,-1982,-8.11,28.47,1.59,50.14,44.93,31.71,23.36,22.76,46.26,30.98,58.66,28.98,1.28,11.075,24.35,28.62,7.17,1.83,1708,3472,2325,5468,6426,1610,412
1303,Felgueiras,48015,51248,403.182,430.33,26.14,20.35,45.36,8.16,48.96,51.04,48.86,51.14,3233,6.73,42.31,1.28,49.85,18.85,63.08,18.07,6.76,73.12,20.12,50.20,35.66,2.18,11.959,17.74,34.73,10.39,2.57,1656,17923,4933,9089,17796,5327,1318
1304,Gondomar,130751,143178,981.172,1074.426,20.91,17.77,52.58,8.74,49.3,50.7,49.18,50.82,12427,9.50,39.00,2.62,57.37,2.85,53.93,43.22,1.31,44.35,54.34,43.20,39.93,6.38,10.493,12.31,29.72,7.93,6.93,858,29085,35636,17621,42547,11350,9920
1305,Lousada,37904,42502,377.756,423.58,26.54,20.73,45.29,7.44,49.39,50.61,49.24,50.76,4598,12.13,41.22,1.12,45.19,14.71,62.82,22.47,5.71,71.41,22.88,50.21,35.81,1.75,12.228,18.13,32.72,12.10,2.20,1160,14512,4649,7704,13908,5144,934
1306,Maia,81679,93151,975.854,1112.915,21.26,17.35,52.44,8.95,48.95,51.05,48.84,51.16,11472,14.05,42.87,2.38,56.80,3.19,63.76,33.05,1.67,55.67,42.66,44.45,39.08,6.06,10.406,11.71,30.47,7.06,7.07,754,25135,19264,10906,28384,6576,6586
1307,Marco de Canaveses,46131,48133,228.349,238.259,25.22,20.71,44.20,9.87,48.44,51.56,49.06,50.94,2002,4.34,33.07,1.90,58.21,33.95,42.52,23.54,12.55,59.58,27.88,53.72,31.80,1.82,12.656,17.00,29.11,11.55,2.08,2404,11415,5341,8185,14010,5561,999
1308,Matosinhos,136498,151682,2190.979,2434.703,20.64,16.49,53.87,9.01,48.77,51.23,48.53,51.47,15184,11.12,42.40,3.58,55.58,3.80,55.11,41.09,1.98,45.17,52.86,42.45,40.12,7.58,9.857,11.01,29.08,6.47,7.78,1398,31962,37403,16704,44103,9811,11795
1309,Pacos de Ferreira,40687,44190,560.041,608.259,25.35,21.01,46.95,6.70,49.94,50.06,49.76,50.24,3503,8.61,39.22,1.18,55.56,8.44,72.66,18.90,2.87,70.23,26.90,48.87,36.65,2.06,12.411,14.54,35.13,13.08,2.65,627,15326,5870,6427,15524,5780,1173
1310,Paredes,67693,72999,432.377,466.269,26.00,21.32,45.70,6.98,50.04,49.96,49.95,50.05,5306,7.84,34.27,1.84,61.60,11.76,63.06,25.18,4.13,62.02,33.85,50.63,33.93,1.97,13.467,14.97,31.67,11.91,2.68,1320,19813,10812,10926,23119,8693,1955
1311,Penafiel,64267,68444,301.978,321.605,26.16,20.56,44.61,8.67,49.49,50.51,49.4,50.6,4177,6.50,35.32,1.86,50.47,26.08,42.13,31.79,8.03,57.89,34.07,51.29,33.61,2.40,12.691,16.54,30.10,11.46,2.59,2304,16601,9771,11324,20603,7843,1771
1312,Porto,327368,302472,7858.089,7260.49,16.95,16.49,51.75,14.81,45.51,54.49,45.6,54.4,-24896,-7.60,46.37,3.29,54.16,0.43,32.84,66.73,0.30,29.25,70.45,37.32,39.97,13.95,8.756,8.83,26.22,5.29,9.84,404,39097,94165,26695,79306,16015,29766
1313,Povoa de Varzim,54248,54788,662.045,668.636,23.83,19.31,47.52,9.34,47.85,52.15,47.89,52.11,540,1.00,43.68,2.33,56.86,26.30,42.39,31.31,15.49,47.17,37.34,47.82,35.16,5.25,11.764,13.05,27.27,11.71,5.11,3872,11789,9332,7150,14939,6416,2797
1314,Santo Tirso,93482,102593,451.517,495.523,22.28,18.22,50.26,9.25,48.82,51.18,48.76,51.24,9111,9.75,44.64,2.34,51.81,5.58,75.51,18.91,2.52,73.29,24.19,46.84,38.39,4.21,10.552,14.36,32.75,10.08,4.58,1308,38030,12551,14732,33595,10341,4696
